River Street , Clerkenwell:19:4
Phillimore Gardens, Kensington:37:20
Christopher Street, Liverpool Street:32:2
St. Chad's Street, King's Cross:23:18
Sedding Street, Sloane Square:27:26
Broadcasting House, Marylebone:18:2
Charlbert Street, St. John's Wood:16:7
Lodge Road, St. John's Wood:18:5
New Globe Walk, Bankside:19:6
Park Street, Bankside:18:9
Brunswick Square, Bloomsbury:24:16
Malet Street, Bloomsbury:49:0
Scala Street, Fitzrovia:21:2
Belgrove Street , King's Cross:21:3
Great Russell Street, Bloomsbury:26:0
Cartwright Gardens , Bloomsbury:22:19
Hatton Wall, Holborn:26:11
Drury Lane, Covent Garden:27:4
Taviton Street, Bloomsbury:30:7
Drummond Street , Euston:28:18
Hampstead Road (Cartmel), Euston:16:6
Northington Street , Holborn:19:15
Red Lion Square, Holborn:16:2
British Museum, Bloomsbury:35:7
Doric Way , Somers Town:31:25
Ampton Street , Clerkenwell:21:3
Bouverie Street, Temple:33:6
Bolsover Street, Fitzrovia:19:14
Hereford Road, Bayswater:22:6
Windsor Terrace, Hoxton:24:1
Leonard Circus , Shoreditch:43:9
Pancras Road, King's Cross:16:14
De Vere Gardens, Kensington:28:10
Penywern Road, Earl's Court:17:11
Abingdon Villas, Kensington:17:8
Shoreditch High Street, Shoreditch:41:18
Commercial Street, Shoreditch:16:14
Sun Street, Liverpool Street:25:4
Wenlock Road , Hoxton:28:7
Crawford Street, Marylebone:18:2
Bruton Street, Mayfair:21:7
Boston Place, Marylebone:26:23
Nesham Street, Wapping:16:11
Warwick Avenue Station, Maida Vale:19:17
Godliman Street, St. Paul's:25:9
Curzon Street, Mayfair:16:4
East Road, Hoxton:27:24
Finsbury Library , Finsbury:29:3
Roscoe Street, St. Luke's:18:8
Golden Lane, Barbican:27:8
Finsbury Circus, Liverpool Street:33:15
Paddington Street, Marylebone:16:7
Guilford Street , Bloomsbury:32:3
New Inn Yard, Shoreditch:20:12
Rodney Street, Angel:30:13
Lisson Grove, St. John's Wood:18:5
Great Dover Street, The Borough:33:25
Cotton Garden Estate, Kennington:24:11
Murray Grove , Hoxton:27:27
William IV Street, Strand:26:21
Gower Place , Euston:17:5
Holborn Circus, Holborn:40:21
Hatton Garden, Holborn:28:0
Theobald's Road , Holborn:26:1
Euston Road, Euston:24:14
Calshot Street , King's Cross:24:8
Newgate Street , St. Paul's:34:6
Farringdon Lane, Clerkenwell:16:2
Old Street Station, St. Luke's:36:25
Vauxhall Cross, Vauxhall:17:14
Torrens Street, Angel:19:6
Longford Street, The Regent's Park:21:18
Russell Square Station, Bloomsbury:26:10
Sadlers Sports Centre, Finsbury:17:5
Great Titchfield Street, Fitzrovia:19:6
Chancery Lane, Holborn:15:4
Panton Street, West End:21:7
Breams Buildings, Holborn:23:0
Tanner Street, Bermondsey:19:18
Sancroft Street, Vauxhall:24:13
Devonshire Square, Liverpool Street:16:0
Bayley Street , Bloomsbury:25:0
Tavistock Place, Bloomsbury:19:4
Harrington Square 1, Camden Town:27:18
Walnut Tree Walk, Vauxhall:20:8
Borough Road, Elephant & Castle:41:34
Cloudesley Road, Angel:37:19
Bricklayers Arms, Borough:28:20
Aldersgate Street, Barbican:15:8
Falkirk Street, Hoxton:26:23
Gloucester Road (North), Kensington:18:2
Hampstead Road, Euston:54:37
Old Quebec Street, Marylebone:16:2
Albert Embankment, Vauxhall:24:5
Queen Street 1, Bank:22:5
Jewry Street, Aldgate:17:5
Vicarage Gate, Kensington:18:0
Crosswall, Tower:34:33
Westbourne Grove, Bayswater:26:11
Woodstock Street, Mayfair:21:0
Finsbury Leisure Centre, St. Luke's:20:11
Abbey Orchard Street, Westminster:29:6
Soho Square , Soho:57:7
Wellington Road, St. John's Wood:17:9
Park Lane , Hyde Park:28:5
Stonecutter Street, Holborn:46:0
Gloucester Road (Central), South Kensington:19:6
Park Road (Baker Street), The Regent's Park:22:12
Braham Street, Aldgate:34:0
Little Argyll Street, West End:21:2
Lollard Street, Vauxhall:25:22
Rochester Row, Westminster:13:6
Bath Street, St. Luke's:18:16
The Guildhall, Guildhall:17:0
Baker Street, Marylebone:22:4
Norton Folgate, Liverpool Street:23:1
St. John Street, Finsbury:18:10
Eaton Square, Belgravia:20:19
Borough High Street, The Borough:21:14
Museum of London, Barbican:52:9
Wood Street, Guildhall:17:2
Emperor's Gate, South Kensington:22:5
