0.1218:0.06:0.0688
River Street , Clerkenwell#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Phillimore Gardens, Kensington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Christopher Street, Liverpool Street#0.0267#0.0193:0.0196:0.0256#9#0.0:0.0:0.0
St. Chad's Street, King's Cross#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Sedding Street, Sloane Square#0.0526#0.0:0.0:0.0085#1#0.0:0.0:0.0
Broadcasting House, Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Charlbert Street, St. John's Wood#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Lodge Road, St. John's Wood#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
New Globe Walk, Bankside#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Park Street, Bankside#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Brunswick Square, Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Malet Street, Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Scala Street, Fitzrovia#0.037#0.0:0.0:0.0171#2#0.0:0.0:0.0
Belgrove Street , King's Cross#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Great Russell Street, Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Cartwright Gardens , Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hatton Wall, Holborn#0.0294#0.0048:0.0:0.0#1#0.0:0.0:0.0
Drury Lane, Covent Garden#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Taviton Street, Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Drummond Street , Euston#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hampstead Road (Cartmel), Euston#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Northington Street , Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Red Lion Square, Holborn#0.0037#0.0048:0.0:0.0#1#0.0:0.0:0.0
British Museum, Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Doric Way , Somers Town#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Ampton Street , Clerkenwell#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bouverie Street, Temple#0.0359#0.0145:0.0294:0.0171#8#0.0:0.0:0.0
Bolsover Street, Fitzrovia#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hereford Road, Bayswater#0.0#0.0:0.0:0.0#0#0.0:6.0E-4:0.0
Windsor Terrace, Hoxton#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Leonard Circus , Shoreditch#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Pancras Road, King's Cross#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
De Vere Gardens, Kensington#0.0#0.0:0.0:0.0#0#0.0012:0.0:0.0
Penywern Road, Earl's Court#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Abingdon Villas, Kensington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Shoreditch High Street, Shoreditch#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Commercial Street, Shoreditch#0.0244#0.0:0.0098:0.0#1#0.0:0.0:0.0
Sun Street, Liverpool Street#0.0244#0.0:0.0:0.0085#1#0.0:0.0:0.0
Wenlock Road , Hoxton#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Crawford Street, Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bruton Street, Mayfair#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Boston Place, Marylebone#0.0#0.0:0.0:0.0#0#0.0:6.0E-4:0.0
Nesham Street, Wapping#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Warwick Avenue Station, Maida Vale#0.0541#0.0048:0.0098:0.0#2#0.0012:0.0:0.0
Godliman Street, St. Paul's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Curzon Street, Mayfair#0.0625#0.0048:0.0:0.0#1#0.0:0.0:0.0
East Road, Hoxton#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Finsbury Library , Finsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Roscoe Street, St. Luke's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Golden Lane, Barbican#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Finsbury Circus, Liverpool Street#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Paddington Street, Marylebone#0.0357#0.0:0.0098:0.0#1#0.0:0.0:0.0
Guilford Street , Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
New Inn Yard, Shoreditch#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Rodney Street, Angel#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Lisson Grove, St. John's Wood#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Great Dover Street, The Borough#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Cotton Garden Estate, Kennington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Murray Grove , Hoxton#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
William IV Street, Strand#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Gower Place , Euston#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Holborn Circus, Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hatton Garden, Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Theobald's Road , Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Euston Road, Euston#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Calshot Street , King's Cross#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Newgate Street , St. Paul's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Farringdon Lane, Clerkenwell#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Old Street Station, St. Luke's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Vauxhall Cross, Vauxhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Torrens Street, Angel#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Longford Street, The Regent's Park#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Russell Square Station, Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Sadlers Sports Centre, Finsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Great Titchfield Street, Fitzrovia#0.0408#0.0097:0.0:0.0#2#0.0:0.0:0.0
Chancery Lane, Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Panton Street, West End#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Breams Buildings, Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Tanner Street, Bermondsey#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Sancroft Street, Vauxhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Devonshire Square, Liverpool Street#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bayley Street , Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Tavistock Place, Bloomsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Harrington Square 1, Camden Town#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Walnut Tree Walk, Vauxhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Borough Road, Elephant & Castle#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Cloudesley Road, Angel#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bricklayers Arms, Borough#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Aldersgate Street, Barbican#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Falkirk Street, Hoxton#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Gloucester Road (North), Kensington#0.5#0.0:0.0098:0.0342#5#0.0:0.0:0.0
Hampstead Road, Euston#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Old Quebec Street, Marylebone#0.05#0.0048:0.0:0.0#1#0.0:0.0:0.0
Albert Embankment, Vauxhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Queen Street 1, Bank#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Jewry Street, Aldgate#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Vicarage Gate, Kensington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Crosswall, Tower#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Westbourne Grove, Bayswater#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Woodstock Street, Mayfair#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Finsbury Leisure Centre, St. Luke's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Abbey Orchard Street, Westminster#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Soho Square , Soho#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Wellington Road, St. John's Wood#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Park Lane , Hyde Park#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Stonecutter Street, Holborn#0.0355#0.0097:0.0098:0.0342#7#0.0:0.0:0.0
Gloucester Road (Central), South Kensington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Park Road (Baker Street), The Regent's Park#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Braham Street, Aldgate#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Little Argyll Street, West End#0.0385#0.0048:0.0:0.0#1#0.0:0.0:0.0
Lollard Street, Vauxhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Rochester Row, Westminster#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bath Street, St. Luke's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
The Guildhall, Guildhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Baker Street, Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Norton Folgate, Liverpool Street#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
St. John Street, Finsbury#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Eaton Square, Belgravia#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Borough High Street, The Borough#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Museum of London, Barbican#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Wood Street, Guildhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Emperor's Gate, South Kensington#1.0#0.0145:0.0:0.0#3#0.0018:0.0:0.0
Golden Square, Soho#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Tower Gardens , Tower#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Eversholt Street , Camden Town#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bethnal Green Road, Shoreditch#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Derry Street, Kensington#0.1765#0.0048:0.0196:0.0256#6#0.0:6.0E-4:0.0
Wapping High Street, Wapping#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Clerkenwell Green, Clerkenwell#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Queen Victoria Street, St. Paul's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bourne Street, Belgravia#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Green Street, Mayfair#0.0556#0.0048:0.0:0.0#1#0.0:0.0:0.0
Lambeth Road, Vauxhall#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Finsbury Square , Moorgate#0.0261#0.0:0.0196:0.0085#3#0.0:0.0:0.0
Chapel Place, Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
West Cromwell Road, Earl's Court#0.0#0.0:0.0:0.0#0#0.0:0.0:6.0E-4
Pont Street, Knightsbridge#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Kennington Cross, Kennington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Ilchester Place, Kensington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Vauxhall Bridge , Pimlico#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Portugal Street, Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Tachbrook Street, Victoria#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Kennington Road Post Office, Oval#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Holy Trinity Brompton, Knightsbridge#0.1667#0.0048:0.0:0.0#1#0.0:0.0:0.0
Chepstow Villas, Notting Hill#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hampton Street, Walworth#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Bayswater Road, Hyde Park#0.0833#0.0048:0.0:0.0#1#0.0:0.0:0.0
Waterloo Station 3, Waterloo#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Lexham Gardens, Kensington#0.25#0.0:0.0098:0.0#1#0.0:6.0E-4:0.0
New Kent Road, The Borough#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Wright's Lane, Kensington#0.1667#0.0048:0.0098:0.0#2#0.0:6.0E-4:0.0
Trebovir Road, Earl's Court#0.1875#0.0:0.0:0.0256#3#0.0:0.0:0.0
Great Marlborough Street, Soho#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Waterloo Place, St. James's#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Guildhouse Street, Victoria#0.0435#0.0:0.0098:0.0#1#0.0:0.0:0.0
Southampton Place, Holborn#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Sloane Avenue, Knightsbridge#0.0909#0.0048:0.0:0.0#1#0.0:0.0:0.0
Cleveland Gardens, Bayswater#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Orsett Terrace, Bayswater#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Seville Street, Knightsbridge#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Eccleston Place, Victoria#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Argyll Road, Kensington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Porchester Place, Paddington#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Hardwick Street, Clerkenwell#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Collingham Gardens, Earl's Court#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Sumner Place, South Kensington#0.1364#0.0048:0.0098:0.0085#3#0.0:0.0:0.0
Waterloo Road, South Bank#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Strand, Strand#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Appold Street, Liverpool Street#0.0256#0.0:0.0:0.0085#1#0.0:0.0:0.0
Gloucester Terrace, Bayswater#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Ashley Place, Victoria#0.0625#0.0048:0.0:0.0#1#0.0:0.0:0.0
Warwick Square, Pimlico#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
North Audley Street, Mayfair#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Belgrave Square, Belgravia#0.0727#0.0193:0.0:0.0#4#0.0:0.0:0.0
Bell Street , Marylebone#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Riverlight North, Nine Elms#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
Portland Place, Marylebone#0.0435#0.0:0.0098:0.0#1#0.0:0.0:0.0
Alderney Street, Pimlico#0.0#0.0:0.0:0.0#0#0.0:0.0:0.0
