Earnshaw Street , Covent Garden
Drummond Street , Euston
Endsleigh Gardens, Euston
Malet Street, Bloomsbury
Cartwright Gardens , Bloomsbury
Howland Street, Fitzrovia
Great Titchfield Street, Fitzrovia
Alfred Place, Bloomsbury
British Museum, Bloomsbury
Bedford Way, Bloomsbury
Great Russell Street, Bloomsbury
High Holborn , Covent Garden
Sardinia Street, Holborn
Bayley Street , Bloomsbury
Ampton Street , Clerkenwell
Margery Street, Clerkenwell
Newton Street, Covent Garden
Soho Square , Soho
Theobald's Road , Holborn
Hatton Wall, Holborn
Drury Lane, Covent Garden
Moor Street, Soho
Houghton Street, Strand
Strand, Strand
Carey Street, Holborn
Holborn Circus, Holborn
Guilford Street , Bloomsbury
Russell Square Station, Bloomsbury
Brunswick Square, Bloomsbury
Red Lion Square, Holborn
Wren Street, Holborn
